1;San José;1
2;Escazú;1
3;Desamparados;1
4;Puriscal;1
5;Tarrazú;1
6;Aserrí;1
7;Mora;1
8;Goicochea;1
9;Santa Ana;1
10;Alajuelita;1
11;Vásquez de Coronado;1
12;Acosta;1
13;Tibás;1
14;Moravia;1
15;Montes de Oca;1
16;Turrubares;1
17;Dota;1
18;Curridabat;1
19;Pérez Zeledón;1
20;León Cortés Castro;1
21;Alajuela;2
22;San Ramón;2
23;Grecia;2
24;San Mateo;2
25;Atenas;2
26;Naranjo;2
27;Palmares;2
28;Poás;2
29;Orotina;2
30;San Carlos;2
31;Zarcero;2
32;Valverde Vega;2
33;Upala;2
34;Los Chiles;2
35;Guatuso;2
36;Río Cuarto;2
37;Cartago;3
38;Paraíso;3
39;La Unión;3
40;Jiménez;3
41;Turrialba;3
42;Alvarado;3
43;Oreamuno;3
44;El Guarco;3
45;Heredia;4
46;Barva;4
47;Santo Domingo;4
48;Santa Bárbara;4
49;San Rafael;4
50;San Isidro;4
51;Belén;4
52;Flores;4
53;San Pablo;4
54;Sarapiquí;4
55;Liberia;5
56;Nicoya;5
57;Santa Cruz;5
58;Bagaces;5
59;Carrillo;5
60;Cañas;5
61;Abangares;5
62;Tilarán;5
63;Nandayure;5
64;La Cruz;5
65;Hojancha;5
66;Puntarenas;6
67;Esparza;6
68;Buenos Aires;6
69;Montes de Oro;6
70;Osa;6
71;Quepos;6
72;Golfito;6
73;Coto Brus;6
74;Parrita;6
75;Corredores;6
76;Garabito;6
77;Limón;7
78;Pococí;7
79;Siquirres;7
80;Talamanca;7
81;Matina;7
82;Guácimo;7